ID,Node1,Node2,X,Y,Z
172,43,24613,,,
173,43,26358,,,
174,43,26485,,,
175,43,23576,,,
176,44,6901,,,
177,44,7609,,,
178,44,7457,,,
179,44,5174,,,
180,45,2446,,,
181,45,22094,,,
182,45,18078,,,
183,45,18238,,,
184,46,4405,,,
185,46,16830,,,
186,46,16809,,,
187,46,16818,,,
188,47,8417,,,
189,47,851,,,
190,47,8074,,,
191,47,8370,,,
192,48,3047,,,
193,48,24809,,,
194,48,2801,,,
195,48,25260,,,
196,49,81,,,
197,49,783,,,
198,49,4910,,,
199,49,5210,,,
200,50,9093,,,
201,50,10213,,,
202,50,1003,,,
203,50,10666,,,
204,51,5334,,,
205,51,4244,,,
206,51,6774,,,
207,51,6629,,,
208,52,7744,,,
209,52,7586,,,
210,52,7718,,,
211,52,6816,,,
212,53,5522,,,
213,53,655,,,
214,53,5160,,,
215,53,5726,,,
216,54,5394,,,
217,54,5367,,,
218,54,453,,,
219,54,5625,,,
220,55,2221,,,
221,55,2082,,,
222,55,16760,,,
223,55,17148,,,
224,56,19516,,,
225,56,3393,,,
226,56,2548,,,
227,56,31378,,,
228,57,19142,,,
229,57,19189,,,
230,57,19309,,,
231,57,19154,,,
232,58,31075,,,
233,58,31276,,,
234,58,26211,,,
235,58,30786,,,
236,59,1336,,,
237,59,5998,,,
238,59,6003,,,
239,59,4960,,,
240,60,15461,,,
241,60,15396,,,
242,60,15127,,,
243,60,15431,,,
244,61,11626,,,
245,61,11623,,,
246,61,11257,,,
247,61,11671,,,
248,62,23728,,,
249,62,22383,,,
250,62,22519,,,
251,62,24463,,,
252,63,24739,,,
253,63,3054,,,
254,63,10605,,,
255,63,24672,,,
256,64,4298,,,
257,64,2353,,,
258,64,19718,,,
259,64,16168,,,
260,65,6300,,,
261,65,6380,,,
262,65,5959,,,
263,65,6342,,,
264,66,5854,,,
265,66,5865,,,
266,66,5849,,,
267,66,4919,,,
268,67,6408,,,
269,67,6419,,,
270,67,6233,,,
271,67,1783,,,
272,68,11978,,,
273,68,12002,,,
274,68,301,,,
275,68,11720,,,
276,69,5462,,,
277,69,6620,,,
278,69,6453,,,
279,69,465,,,
280,70,5768,,,
281,70,5770,,,
282,70,8367,,,
283,70,8391,,,
284,71,11303,,,
285,71,11180,,,
286,71,11324,,,
287,71,8952,,,
288,72,30254,,,
289,72,28271,,,
290,72,30245,,,
291,72,25723,,,
292,73,5279,,,
293,73,6386,,,
294,73,6395,,,
295,73,6333,,,
296,74,7737,,,
297,74,4949,,,
298,74,7712,,,
299,74,5637,,,
300,75,3945,,,
301,75,7534,,,
302,75,6008,,,
303,75,7545,,,
304,76,28147,,,
305,76,8599,,,
306,76,3329,,,
307,76,8012,,,
308,77,10499,,,
309,77,26278,,,
310,77,10594,,,
311,77,24208,,,
312,78,415,,,
313,78,6261,,,
314,78,6969,,,
315,78,1224,,,
316,79,5769,,,
317,79,5768,,,
318,79,8375,,,
319,79,1057,,,
320,80,28600,,,
321,80,28568,,,
322,80,28409,,,
323,80,28443,,,
324,81,4888,,,
325,81,108,,,
326,81,5210,,,
327,82,5100,,,
328,82,4888,,,
329,82,5704,,,
330,82,5372,,,
331,83,14108,,,
332,83,14070,,,
333,83,14064,,,
334,83,14076,,,
335,84,540,,,
336,84,5339,,,
337,84,5272,,,
338,84,7505,,,
339,85,9991,,,
340,85,9723,,,
341,85,1170,,,
342,85,9721,,,
343,86,10308,,,
344,86,10378,,,
345,86,10391,,,
346,86,9938,,,
347,87,89,,,
348,87,454,,,
349,87,3812,,,
350,87,4871,,,
351,88,5274,,,
352,88,3944,,,
353,88,6584,,,
354,88,3980,,,
355,89,4784,,,
356,89,3813,,,
357,89,-1,0.395575,0.744213,0.538208
358,90,7291,,,
359,90,5299,,,
360,90,1387,,,
361,90,7381,,,
362,91,8194,,,
363,91,1024,,,
364,91,8070,,,
365,91,5620,,,
366,92,6419,,,
367,92,6345,,,
368,92,3194,,,
369,92,1819,,,
370,93,8220,,,
371,93,8168,,,
372,93,5148,,,
373,93,8234,,,
374,94,26540,,,
375,94,26253,,,
376,94,26439,,,
377,94,26450,,,
378,95,1217,,,
379,95,8574,,,
380,95,10469,,,
381,95,10206,,,
382,96,949,,,
383,96,922,,,
384,96,5908,,,
385,96,192,,,
386,97,5558,,,
387,97,6654,,,
388,97,6775,,,
389,97,6614,,,
390,98,12869,,,
391,98,12905,,,
392,98,12904,,,
393,98,12033,,,
394,99,27434,,,
395,99,26796,,,
396,99,27533,,,
397,99,27555,,,
398,100,5411,,,
399,100,5719,,,
400,100,5465,,,
401,100,5674,,,
402,101,7345,,,
403,101,1735,,,
404,101,7451,,,
405,101,7154,,,
406,102,6736,,,
407,102,6738,,,
408,102,5253,,,
409,102,6706,,,
410,103,15726,,,
411,103,12680,,,
412,103,15724,,,
413,103,6503,,,
414,104,13683,,,
415,104,22915,,,
416,104,23486,,,
417,104,23364,,,
418,105,7549,,,
419,105,6894,,,
420,105,7529,,,
421,105,7598,,,
422,106,20899,,,
423,106,20808,,,
424,106,20870,,,
425,106,20811,,,
426,107,18801,,,
427,107,19152,,,
428,107,19338,,,
429,107,19300,,,
430,108,5837,,,
431,108,5882,,,
432,108,5883,,,
433,109,5586,,,
434,109,7792,,,
435,109,5583,,,
436,109,7606,,,
437,110,7851,,,
438,110,7941,,,
439,110,1220,,,
440,110,5658,,,
441,111,630,,,
442,111,5932,,,
443,111,5380,,,
444,111,3119,,,
445,112,22951,,,
446,112,23707,,,
447,112,23542,,,
448,112,23569,,,
449,113,23090,,,
450,113,3122,,,
451,113,23165,,,
452,113,23105,,,
453,114,25381,,,
454,114,23963,,,
455,114,1600,,,
456,114,25390,,,
457,115,4509,,,
458,115,4468,,,
459,115,2491,,,
460,115,19551,,,
461,116,5749,,,
462,116,285,,,
463,116,1264,,,
464,116,5262,,,
465,117,11347,,,
466,117,13904,,,
467,117,11705,,,
468,117,13894,,,
469,118,21879,,,
470,118,24187,,,
471,118,24370,,,
472,118,22695,,,
473,119,2039,,,
474,119,14148,,,
475,119,14162,,,
476,119,13455,,,
477,120,2779,,,
478,120,23069,,,
479,120,23970,,,
480,120,21920,,,
481,121,1404,,,
482,121,17012,,,
483,121,16968,,,
484,121,16829,,,
485,122,3030,,,
486,122,25944,,,
487,122,25851,,,
488,122,26156,,,
489,123,25498,,,
490,123,25162,,,
491,123,21913,,,
492,123,25193,,,
493,124,19360,,,
494,124,-1,0.0998342,0.929317,-0.355532
495,124,19443,,,
496,124,19356,,,
497,125,10770,,,
498,125,8561,,,
499,125,5456,,,
500,125,928,,,
501,126,16268,,,
502,126,17948,,,
503,126,16254,,,
504,126,1776,,,
505,127,19331,,,
506,127,18894,,,
507,127,427,,,
508,127,19647,,,
509,128,5905,,,
510,128,5888,,,
511,128,5933,,,
512,128,5852,,,
513,129,12381,,,
514,129,1833,,,
515,129,1702,,,
516,129,12383,,,
517,130,19893,,,
518,130,332,,,
519,130,16142,,,
520,130,19891,,,
521,131,13731,,,
522,131,1553,,,
523,131,13800,,,
524,131,13774,,,
525,132,644,,,
526,132,5160,,,
527,132,5881,,,
528,132,5880,,,
529,133,1750,,,
530,133,3847,,,
531,133,4157,,,
532,133,824,,,
533,134,26413,,,
534,134,565,,,
535,134,2929,,,
536,134,10427,,,
537,135,3601,,,
538,135,8034,,,
539,135,5770,,,
540,135,851,,,
541,136,30017,,,
542,136,344,,,
543,136,6093,,,
544,136,5920,,,
545,137,8088,,,
546,137,8076,,,
547,137,8044,,,
548,137,5766,,,
549,138,10063,,,
550,138,10336,,,
551,138,11461,,,
552,138,11256,,,
553,139,26966,,,
554,139,929,,,
555,139,372,,,
556,139,9407,,,
557,140,11427,,,
558,140,11829,,,
559,140,7336,,,
560,140,11551,,,
561,141,8541,,,
562,141,8420,,,
563,141,8453,,,
564,141,1194,,,
565,142,26242,,,
566,142,26960,,,
567,142,28204,,,
568,142,26536,,,
569,143,28228,,,
570,143,5790,,,
571,143,30104,,,
572,143,30129,,,
573,144,25763,,,
574,144,3090,,,
575,144,23177,,,
576,144,-1,-0.782972,-0.600176,-0.163535
577,145,3073,,,
578,145,28230,,,
579,145,28260,,,
580,145,3190,,,
581,146,1504,,,
582,146,13056,,,
583,146,11680,,,
584,146,1679,,,
585,147,15494,,,
586,147,15593,,,
587,147,15506,,,
588,147,7222,,,
589,148,14718,,,
590,148,2785,,,
591,148,14741,,,
592,148,11694,,,
593,149,19106,,,
594,149,20069,,,
595,149,19876,,,
596,149,19040,,,
597,150,18575,,,
598,150,2205,,,
599,150,18719,,,
600,150,14696,,,
601,151,20941,,,
602,151,2544,,,
603,151,19591,,,
604,151,20943,,,
605,152,19301,,,
606,152,19276,,,
607,152,19273,,,
608,152,2134,,,
609,153,18225,,,
610,153,22100,,,
611,153,22185,,,
612,153,18041,,,
613,154,5141,,,
614,154,1060,,,
615,154,7991,,,
616,154,1327,,,
617,155,3890,,,
618,155,3841,,,
619,155,3889,,,
620,155,3801,,,
621,156,290,,,
622,156,5218,,,
623,156,5561,,,
624,156,5464,,,
625,157,19337,,,
626,157,12329,,,
627,157,17136,,,
628,157,19258,,,
629,158,12466,,,
630,158,12477,,,
631,158,12946,,,
632,158,12989,,,
633,159,4147,,,
634,159,3995,,,
635,159,4058,,,
636,159,810,,,
637,160,3570,,,
638,160,29464,,,
639,160,28681,,,
640,160,3605,,,
641,161,20921,,,
642,161,20062,,,
643,161,20265,,,
644,161,20274,,,
645,162,13297,,,
646,162,14866,,,
647,162,14895,,,
648,162,14386,,,
649,163,13329,,,
650,163,13238,,,
651,163,13403,,,
652,163,1103,,,
653,164,30505,,,
654,164,4826,,,
655,164,5987,,,
656,164,6044,,,
657,165,12043,,,
658,165,12021,,,
659,165,12022,,,
660,165,12027,,,
661,166,5102,,,
662,166,5126,,,
663,166,5130,,,
664,166,5088,,,
665,167,24793,,,
666,167,6084,,,
667,167,24726,,,
668,167,26237,,,
669,168,14056,,,
670,168,1685,,,
671,168,13920,,,
672,168,12134,,,
673,169,7363,,,
674,169,1683,,,
675,169,1686,,,
676,169,5585,,,
677,170,1218,,,
678,170,16660,,,
679,170,16691,,,
680,170,4547,,,
681,171,17133,,,
682,171,17063,,,
683,171,16747,,,
684,171,16130,,,
685,172,5899,,,
686,172,4689,,,
687,172,5884,,,
688,172,5885,,,
689,173,9270,,,
690,173,10222,,,
691,173,10236,,,
692,173,10251,,,
693,174,13248,,,
694,174,13030,,,
695,174,1350,,,
696,174,13198,,,
697,175,20621,,,
698,175,28716,,,
699,175,3431,,,
700,175,19506,,,
701,176,20990,,,
702,176,20986,,,
703,176,20973,,,
704,176,2242,,,
705,177,12046,,,
706,177,12029,,,
707,177,14759,,,
708,177,12554,,,
709,178,7120,,,
710,178,6457,,,
711,178,7020,,,
712,178,7053,,,
713,179,30272,,,
714,179,29053,,,
715,179,29175,,,
716,179,3487,,,
717,180,10643,,,
718,180,19679,,,
719,180,20755,,,
720,180,3401,,,
721,181,15786,,,
722,181,15799,,,
723,181,11055,,,
724,181,15601,,,
725,182,252,,,
726,182,22379,,,
727,182,22772,,,
728,182,2741,,,
729,183,30923,,,
730,183,31093,,,
731,183,19798,,,
732,183,19109,,,
733,184,4056,,,
734,184,4248,,,
735,184,4048,,,
736,184,4044,,,
737,185,15691,,,
738,185,16959,,,
739,185,16622,,,
740,185,4542,,,
741,186,3003,,,
742,186,13387,,,
743,186,13534,,,
744,186,13533,,,
745,187,24702,,,
746,187,25097,,,
747,187,25224,,,
748,187,21651,,,
749,188,7566,,,
750,188,1345,,,
751,188,7532,,,
752,188,5587,,,
753,189,14950,,,
754,189,14838,,,
755,189,14857,,,
756,189,14864,,,
757,190,19928,,,
758,190,18616,,,
759,190,20073,,,
760,190,19766,,,
761,191,31194,,,
762,191,19583,,,
763,191,31198,,,
764,191,19655,,,
765,192,5917,,,
766,192,5913,,,
767,192,5661,,,
768,193,6731,,,
769,193,5053,,,
770,193,198,,,
771,193,5550,,,
772,194,12563,,,
773,194,24936,,,
774,194,17938,,,
775,194,16227,,,
776,195,30271,,,
777,195,28543,,,
778,195,30272,,,
779,195,20926,,,
780,196,4375,,,
781,196,4469,,,
782,196,4188,,,
783,196,4297,,,
784,197,4736,,,
785,197,4037,,,
786,197,4084,,,
787,197,5009,,,
788,198,5514,,,
789,198,822,,,
790,199,24167,,,
791,199,23484,,,
792,199,12895,,,
793,199,27431,,,
794,200,25900,,,
795,200,26071,,,
796,200,25849,,,
797,200,3326,,,
798,201,12054,,,
799,201,11929,,,
800,201,11941,,,
801,201,11061,,,
802,202,4396,,,
803,202,4346,,,
804,202,16982,,,
805,202,16930,,,
806,203,31130,,,
807,203,31330,,,
808,203,3724,,,
809,203,31234,,,
810,204,495,,,
811,204,19854,,,
812,204,19848,,,
813,204,19885,,,
814,205,23177,,,
815,205,-1,-0.736034,-0.625168,-0.259652
816,205,23121,,,
817,205,3045,,,
818,206,469,,,
819,206,4227,,,
820,206,4276,,,
821,206,239,,,
822,207,3930,,,
823,207,3932,,,
824,207,394,,,
825,207,3726,,,
826,208,21025,,,
827,208,20817,,,
828,208,3450,,,
829,208,19078,,,
830,209,29993,,,
831,209,29820,,,
832,209,29956,,,
833,209,25262,,,
834,210,17644,,,
835,210,15002,,,
836,210,17298,,,
837,210,16963,,,
838,211,29772,,,
839,211,4454,,,
840,211,1188,,,
841,211,6110,,,
842,212,3927,,,
843,212,5395,,,
844,212,7472,,,
845,212,7725,,,
846,213,18436,,,
847,213,18369,,,
848,213,18031,,,
849,213,21430,,,
850,214,2094,,,
851,214,2584,,,
852,214,14697,,,
853,214,18315,,,
854,215,688,,,
855,215,15095,,,
856,215,14997,,,
857,215,15037,,,
858,216,-1,-0.352322,-0.019567,-0.935674
859,216,22147,,,
860,216,18081,,,
861,216,21891,,,
862,217,8557,,,
863,217,3347,,,
864,217,28818,,,
865,217,28933,,,
866,218,3636,,,
867,218,4635,,,
868,218,4422,,,
869,218,4610,,,
870,219,24852,,,
871,219,3531,,,
872,219,19758,,,
873,219,6346,,,
874,220,18861,,,
875,220,18868,,,
876,220,18813,,,
877,220,18856,,,
878,221,1619,,,
879,221,14452,,,
880,221,12944,,,
881,221,14389,,,
882,222,15968,,,
883,222,15934,,,
884,222,16008,,,
885,222,6320,,,
886,223,5426,,,
887,223,9111,,,
888,223,9218,,,
889,223,9205,,,
890,224,2451,,,
891,224,6365,,,
892,224,6420,,,
893,224,16321,,,
894,225,5210,,,
895,225,4070,,,
896,225,4972,,,
897,226,19622,,,
898,226,19153,,,
899,226,19701,,,
900,226,19592,,,
901,227,8691,,,
902,227,8738,,,
903,227,8611,,,
904,227,990,,,
905,228,18224,,,
906,228,29346,,,
907,228,20208,,,
908,228,20235,,,
909,229,10748,,,
910,229,5660,,,
911,229,8264,,,
912,229,29986,,,
913,230,1948,,,
914,230,787,,,
915,230,3514,,,
916,230,694,,,
917,231,15284,,,
918,231,15286,,,
919,231,15079,,,
920,231,3856,,,
921,232,6925,,,
922,232,616,,,
923,232,6664,,,
924,232,5901,,,
925,233,3639,,,
926,233,3573,,,
927,233,29205,,,
928,233,28996,,,
929,234,20284,,,
930,234,18679,,,
931,234,20944,,,
932,234,20963,,,
933,235,12132,,,
934,235,12145,,,
935,235,11617,,,
936,235,1173,,,
937,236,10376,,,
938,236,10371,,,
939,236,7208,,,
940,236,9807,,,
941,237,7342,,,
942,237,6657,,,
943,237,3779,,,
944,237,1732,,,
945,238,2143,,,
946,238,3375,,,
947,238,518,,,
948,238,29133,,,
949,239,4176,,,
950,239,2509,,,
951,239,4276,,,
952,240,6061,,,
953,240,5802,,,
954,240,3554,,,
955,240,4960,,,
956,241,808,,,
957,241,4047,,,
958,241,4932,,,
959,241,4994,,,
960,242,6526,,,
961,242,6541,,,
962,242,6635,,,
963,242,4692,,,
964,243,26008,,,
965,243,21677,,,
966,243,23514,,,
967,243,25176,,,
968,244,17649,,,
969,244,14129,,,
970,244,16062,,,
971,244,888,,,
972,245,4288,,,
973,245,1949,,,
974,245,1692,,,
975,245,4316,,,
976,246,3615,,,
977,246,28990,,,
978,246,28982,,,
979,246,28879,,,
980,247,10746,,,
981,247,28233,,,
982,247,30033,,,
983,247,29997,,,
984,248,31132,,,
985,248,3663,,,
986,248,31061,,,
987,248,16902,,,
988,249,19961,,,
989,249,16372,,,
990,249,26077,,,
991,249,12608,,,
992,250,14197,,,
993,250,22560,,,
994,250,1617,,,
995,250,12964,,,
996,251,13796,,,
997,251,1417,,,
998,251,13363,,,
999,251,13369,,,
1000,252,22616,,,
1001,252,22027,,,
1002,252,22618,,,
1003,253,27246,,,
1004,253,23404,,,
1005,253,9598,,,
1006,253,23438,,,
1007,254,14227,,,
1008,254,14530,,,
1009,254,14552,,,
1010,254,12954,,,
1011,255,13006,,,
1012,255,12939,,,
1013,255,24532,,,
1014,255,22512,,,
1015,256,2216,,,
1016,256,20102,,,
1017,256,17464,,,
1018,256,17203,,,
1019,257,23327,,,
1020,257,23996,,,
1021,257,23256,,,
1022,257,2480,,,
1023,258,25256,,,
1024,258,25235,,,
1025,258,2477,,,
1026,258,24971,,,
1027,259,2371,,,
1028,259,20969,,,
1029,259,21288,,,
1030,259,20618,,,
1031,260,16093,,,
1032,260,31509,,,
1033,260,31428,,,
1034,260,31170,,,
1035,261,3198,,,
1036,261,816,,,
1037,261,8223,,,
1038,261,8120,,,
1039,262,25214,,,
1040,262,25687,,,
1041,262,25650,,,
1042,262,25394,,,
1043,263,23883,,,
1044,263,2766,,,
1045,263,1546,,,
1046,263,23279,,,
1047,264,27100,,,
1048,264,27320,,,
1049,264,27802,,,
1050,264,26766,,,
1051,265,18266,,,
1052,265,22009,,,
1053,265,2640,,,
1054,265,18161,,,
1055,266,6781,,,
1056,266,6496,,,
1057,266,4310,,,
1058,266,5970,,,
1059,267,691,,,
1060,267,1294,,,
1061,267,11669,,,
1062,267,-1,0.781789,-0.501166,0.370995
1063,268,2445,,,
1064,268,18190,,,
1065,268,2653,,,
1066,268,2106,,,
1067,269,21598,,,
1068,269,20991,,,
1069,269,21614,,,
1070,269,2127,,,
1071,270,2398,,,
1072,270,19988,,,
1073,270,20091,,,
1074,270,20030,,,
1075,271,28786,,,
1076,271,20251,,,
1077,271,20472,,,
1078,271,29311,,,
1079,272,25711,,,
1080,272,25586,,,
1081,272,25687,,,
1082,272,25306,,,
1083,273,-1,-0.340572,-0.141551,-0.929502
1084,273,22802,,,
1085,273,22800,,,
1086,273,22221,,,
1087,274,772,,,
1088,274,5629,,,
1089,274,5139,,,
1090,274,5290,,,
1091,275,29396,,,
1092,275,3371,,,
1093,275,3385,,,
1094,275,28850,,,
1095,276,5487,,,
1096,276,5489,,,
1097,276,8183,,,
1098,276,8182,,,
1099,277,2702,,,
1100,277,22752,,,
1101,277,14229,,,
1102,277,22919,,,
1103,278,21849,,,
1104,278,21908,,,
1105,278,21935,,,
1106,278,21780,,,
1107,279,17204,,,
1108,279,16579,,,
1109,279,19073,,,
1110,279,15735,,,
1111,280,18395,,,
1112,280,18414,,,
1113,280,17979,,,
1114,280,18566,,,
1115,281,1912,,,
1116,281,14550,,,
1117,281,22124,,,
1118,281,2705,,,
1119,282,25177,,,
1120,282,25254,,,
1121,282,19998,,,
1122,282,23946,,,
1123,283,2796,,,
1124,283,23860,,,
1125,283,22983,,,
1126,283,23334,,,
1127,284,13866,,,
1128,284,13867,,,
1129,284,9291,,,
1130,284,13846,,,
1131,285,5473,,,
1132,285,5302,,,
1133,285,5476,,,
1134,286,10453,,,
1135,286,9867,,,
1136,286,9625,,,
1137,286,9690,,,
1138,287,30661,,,
1139,287,30642,,,
1140,287,30640,,,
1141,287,30451,,,
1142,288,24233,,,
1143,288,24206,,,
1144,288,23622,,,
1145,288,24100,,,
1146,289,21869,,,
1147,289,22012,,,
1148,289,2744,,,
1149,289,2669,,,
1150,290,5575,,,
1151,290,5561,,,
1152,290,5621,,,
1153,291,20631,,,
1154,291,20838,,,
1155,291,21264,,,
1156,291,20258,,,
1157,292,513,,,
1158,292,3998,,,
1159,292,4150,,,
1160,292,3933,,,
1161,293,19184,,,
1162,293,19173,,,
1163,293,19194,,,
1164,293,19131,,,
1165,294,20128,,,
1166,294,20262,,,
1167,294,2496,,,
1168,294,20234,,,
1169,295,7296,,,
1170,295,7196,,,
1171,295,7297,,,
1172,295,7118,,,
1173,296,13646,,,
1174,296,23722,,,
1175,296,23407,,,
1176,296,14196,,,
1177,297,6485,,,
1178,297,1736,,,
1179,297,12310,,,
1180,297,15517,,,
1181,298,11407,,,
1182,298,11391,,,
1183,298,11415,,,
1184,298,11136,,,
1185,299,24347,,,
1186,299,2476,,,
1187,299,24465,,,
1188,299,752,,,
1189,300,12891,,,
1190,300,14150,,,
1191,300,12534,,,
1192,300,13398,,,
1193,301,12002,,,
1194,301,12003,,,
1195,301,11738,,,
1196,302,13005,,,
1197,302,12954,,,
1198,302,14511,,,
1199,302,12576,,,
1200,303,21909,,,
1201,303,21804,,,
1202,303,2618,,,
1203,303,21910,,,
1204,304,21582,,,
1205,304,21612,,,
1206,304,21538,,,
1207,304,20700,,,
1208,305,18925,,,
1209,305,18900,,,
1210,305,18931,,,
1211,305,18914,,,
1212,306,5909,,,
1213,306,1228,,,
1214,306,910,,,
1215,306,8039,,,
1216,307,14940,,,
1217,307,14987,,,
1218,307,792,,,
1219,307,11994,,,
1220,308,24282,,,
1221,308,24203,,,
1222,308,24602,,,
1223,308,24657,,,
1224,309,15441,,,
1225,309,15238,,,
1226,309,15497,,,
1227,309,15299,,,
1228,310,14589,,,
1229,310,14344,,,
1230,310,14643,,,
1231,310,-1,0.29351,-0.572355,-0.765677
1232,311,2107,,,
1233,311,22431,,,
1234,311,22996,,,
1235,311,22921,,,
1236,312,27205,,,
1237,312,2864,,,
1238,312,23428,,,
1239,312,3283,,,
1240,313,25815,,,
1241,313,25802,,,
1242,313,26027,,,
1243,313,25849,,,
1244,314,4147,,,
1245,314,4144,,,
1246,314,4749,,,
1247,314,4671,,,
1248,315,1580,,,
1249,315,14790,,,
1250,315,14232,,,
1251,315,14779,,,
1252,316,12568,,,
1253,316,5980,,,
1254,316,12577,,,
1255,316,12397,,,
1256,317,12981,,,
1257,317,12949,,,
1258,317,13025,,,
1259,317,1639,,,
1260,318,12446,,,
1261,318,12403,,,
1262,318,12445,,,
1263,318,12491,,,
1264,319,18428,,,
1265,319,18325,,,
1266,319,1429,,,
1267,319,18520,,,
1268,320,11351,,,
1269,320,9265,,,
1270,320,11195,,,
1271,320,11107,,,
1272,321,20791,,,
1273,321,20746,,,
1274,321,18170,,,
1275,321,19842,,,
1276,322,2494,,,
1277,322,5903,,,
1278,322,5061,,,
1279,322,5968,,,
1280,323,3360,,,
1281,323,25712,,,
1282,323,3067,,,
1283,323,25676,,,
1284,324,2073,,,
1285,324,21626,,,
1286,324,22147,,,
1287,324,14732,,,
1288,325,18275,,,
1289,325,18551,,,
1290,325,18464,,,
1291,325,18469,,,
1292,326,2643,,,
1293,326,24489,,,
1294,326,12968,,,
1295,326,22463,,,
1296,327,683,,,
1297,327,5950,,,
1298,327,6331,,,
1299,327,16288,,,
1300,328,1274,,,
1301,328,6380,,,
1302,328,6377,,,
1303,328,5959,,,
1304,329,8648,,,
1305,329,385,,,
1306,329,7933,,,
1307,329,8379,,,
1308,330,13024,,,
1309,330,12424,,,
1310,330,13103,,,
1311,330,12960,,,
1312,331,16358,,,
1313,331,16320,,,
1314,331,16389,,,
1315,331,16296,,,
1316,332,19066,,,
1317,332,16597,,,
1318,332,16452,,,
1319,333,20559,,,
1320,333,2847,,,
1321,333,20490,,,
1322,333,20338,,,
1323,334,21893,,,
1324,334,21927,,,
1325,334,14243,,,
1326,334,21892,,,
1327,335,23998,,,
1328,335,22868,,,
1329,335,23911,,,
1330,335,23108,,,
1331,336,20400,,,
1332,336,26176,,,
1333,336,25265,,,
1334,336,3030,,,
1335,337,5067,,,
1336,337,5074,,,
1337,337,5125,,,
1338,337,4826,,,
1339,338,11175,,,
1340,338,9987,,,
1341,338,9133,,,
1342,338,7198,,,
1343,339,1862,,,
1344,339,18851,,,
1345,339,18832,,,
1346,339,17182,,,
1347,340,12934,,,
1348,340,12978,,,
1349,340,13233,,,
1350,340,12977,,,
1351,341,19315,,,
1352,341,19632,,,
1353,341,21333,,,
