name;name_plain;horizons;radius;diameter;end_time;begin_time;class;number;name_en;name_ru
Jupiter XXXIV (Euporie);euporie;euporie;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;34;euporie;euporie
Jupiter XXXV (Orthosie);orthosie;orthosie;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;35;orthosie;orthosie
Jupiter XXXVI (Sponde);sponde;sponde;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;36;sponde;sponde
Jupiter XXXVII (Kale);kale;kale;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;37;kale;kale
Jupiter XXXVIII (Pasithee);pasithee;pasithee;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;38;pasithee;pasithee
Jupiter XXXIX (Hegemone);hegemone;hegemone;1.5;3;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;39;hegemone;hegemone
Jupiter XL (Mneme);mneme;mneme;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;40;mneme;mneme
Jupiter XLI (Aoede);aoede;aoede;2;4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;41;aoede;aoede
Jupiter XLII (Thelxinoe);thelxinoe;thelxinoe;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;42;thelxinoe;thelxinoe
Jupiter XLIII (Arche);arche;arche;1.5;3;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;43;arche;arche
Jupiter XLIV (Kallichore);kallichore;kallichore;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;44;kallichore;kallichore
Jupiter XLV (Helike);helike;helike;2;4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;45;helike;helike
Jupiter XLVI (Carpo);carpo;carpo;1.5;3;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;46;carpo;carpo
Jupiter XLVII (Eukelade);eukelade;eukelade;2;4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;47;eukelade;eukelade
Jupiter XLVIII (Cyllene);cyllene;cyllene;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;48;cyllene;cyllene
Jupiter XLIX (Kore);kore;kore;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;49;kore;kore
Jupiter L (Herse);herse;herse;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;50;herse;herse
Jupiter LI (unnamed);unnamed;2010j1;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;51;unnamed;unnamed
Jupiter LII (unnamed);unnamed;2010j2;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;52;unnamed;unnamed
Jupiter LIII (Dia);dia;dia;1;2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;53;dia;dia
Neptune III (Naiad);naiad;naiad;33;66;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;1;naiad;Наяда
Neptune IV (Thalassa);thalassa;thalassa;41;82;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;2;thalassa;Таласса
Neptune V (Despina);despina;despina;75;150;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;3;despina;Деспина
Neptune VI (Galatea);galatea;galatea;88;176;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;4;galatea;Галатея
Neptune VII (Larissa);larissa;larissa;97;194;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;5;larissa;Ларисса
2004n1;2004n1;2004n1;9;18;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;6;2004n1;2004n1
Neptune VIII (Proteus);proteus;proteus;210;420;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;7;proteus;Протей
Neptune I (Triton);triton;triton;1353.4;2706.8;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;8;triton;Тритон
Neptune II (Nereid);nereid;nereid;170;340;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;9;nereid;Нереида
Neptune IX (Halimede);halimede;halimede;31;62;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;10;halimede;Галимеда
Neptune XI (Sao);sao;sao;22;44;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;11;sao;Сао
Neptune XII (Laomedeia);laomedeia;laomedeia;21;42;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;12;laomedeia;Лаомедея
Neptune X (Psamathe);psamathe;psamathe;20;40;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;13;psamathe;Псамафа
Neptune XIII (Neso);neso;neso;30;60;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;14;neso;Несо
Uranus VI (Cordelia);cordelia;cordelia;20.1;40.2;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;1;cordelia;Корделия
Uranus VII (Ophelia);ophelia;ophelia;21.4;42.8;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;2;ophelia;Офелия
Uranus VIII (Bianca);bianca;bianca;27;54;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;3;bianca;Бианка
Uranus IX (Cressida);cressida;cressida;41;82;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;4;cressida;Крессида
Uranus X (Desdemona);desdemona;desdemona;35;70;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;5;desdemona;Дездемона
Uranus XI (Juliet);juliet;juliet;53;106;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;6;juliet;Джульетта
Uranus XII (Portia);portia;portia;70;140;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;7;portia;Порция
Uranus XIII (Rosalind);rosalind;rosalind;36;72;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;8;rosalind;Розалинда
Uranus XXVII (Cupid);cupid;cupid;9;18;2000-01-01-00-00-00;1986-01-01-00-00-00;Uranus;9;cupid;Купидон
Uranus XIV (Belinda);belinda;belinda;45;90;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;10;belinda;Белинда
Uranus XXV (Perdita);perdita;perdita;13;26;2000-01-01-00-00-00;1986-01-01-00-00-00;Uranus;11;perdita;Пердита
Uranus XV (Puck);puck;puck;81;162;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;12;puck;Пак
Uranus XXVI (Mab);mab;mab;12;24;2000-01-01-00-00-00;1986-01-01-00-00-00;Uranus;13;mab;Маб
Uranus V (Miranda);miranda;miranda;235.8;471.6;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;14;miranda;Миранда
Uranus I (Ariel);ariel;ariel;578.9;1157.8;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;15;ariel;Ариэль
Uranus II (Umbriel);umbriel;umbriel;584.7;1169.4;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;16;umbriel;Умбриэль
Uranus III (Titania);titania;titania;788.9;1577.8;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;17;titania;Титания
Uranus IV (Oberon);oberon;oberon;761.4;1522.8;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;18;oberon;Оберон
Uranus XXII (Francisco);francisco;francisco;11;22;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;19;francisco;francisco
Uranus XVI (Caliban);caliban;caliban;36;72;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;20;caliban;caliban
Uranus XX (Stephano);stephano;stephano;16;32;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;21;stephano;stephano
Uranus XXI (Trinculo);trinculo;trinculo;9;18;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;22;trinculo;trinculo
Uranus XVII (Sycorax);sycorax;sycorax;75;150;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;23;sycorax;sycorax
Uranus XXIII (Margaret);margaret;margaret;10;20;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;24;margaret;margaret
Uranus XVIII (Prospero);prospero;prospero;25;50;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;25;prospero;prospero
Uranus XIX (Setebos);setebos;setebos;24;48;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;26;setebos;setebos
Uranus XXIV (Ferdinand);ferdinand;ferdinand;10;20;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;27;ferdinand;Фердинанд
Saturn I (Mimas);mimas;mimas;198.2;396.4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;1;mimas;Мимас
Saturn II (Enceladus);enceladus;enceladus;252.1;504.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;2;enceladus;Энцелад
Saturn III (Tethys);tethys;tethys;533;1066;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;3;tethys;Тефия
Saturn IV (Dione);dione;dione;561.7;1123.4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;4;dione;Диона
Saturn V (Rhea);rhea;rhea;764.3;1528.6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;5;rhea;Рея
Saturn VI (Titan);titan;606;2574.73;5149.46;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;6;titan;Титан
Saturn VII (Hyperion);hyperion;hyperion;135;270;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;7;hyperion;Гиперион
Saturn VIII (Iapetus);iapetus;iapetus;735.6;1471.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;8;iapetus;Япет
Saturn IX (Phoebe);phoebe;phoebe;106.5;213;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;9;phoebe;Феба
Saturn X (Janus);janus;janus;89.5;179;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;10;janus;Янус
Saturn XI (Epimetheus);epimetheus;epimetheus;58.1;116.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;11;epimetheus;Эпиметей
Saturn XII (Helene);helene;helene;17.6;35.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;12;helene;Елена
Saturn XIII (Telesto);telesto;telesto;12.4;24.8;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;13;telesto;Телесто
Saturn XIV (Calypso);calypso;calypso;10.7;21.4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;14;calypso;Калипсо
Saturn XV (Atlas);atlas;atlas;15.1;30.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;15;atlas;Атлас
Saturn XVI (Prometheus);prometheus;prometheus;43.1;86.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;16;prometheus;Прометей
Saturn XVII (Pandora);pandora;pandora;40.7;81.4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;17;pandora;Пандора
Saturn XVIII (Pan);pan;618;14.1;28.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;18;pan;Пан
Saturn XIX (Ymir);ymir;ymir;9;18;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;19;ymir;ymir
Saturn XX (Paaliaq);paaliaq;paaliaq;11;22;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;20;paaliaq;paaliaq
Saturn XXI (Tarvos);tarvos;tarvos;7.5;15;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;21;tarvos;tarvos
Saturn XXII (Ijiraq);ijiraq;ijiraq;6;12;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;22;ijiraq;ijiraq
Saturn XXIII (Suttungr);suttungr;suttungr;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;23;suttungr;suttungr
Saturn XXIV (Kiviuq);kiviuq;kiviuq;8;16;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;24;kiviuq;kiviuq
Saturn XXV (Mundilfari);mundilfari;mundilfari;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;25;mundilfari;mundilfari
Saturn XXVI (Albiorix);albiorix;albiorix;16;32;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;26;albiorix;albiorix
Saturn XXVII (Skathi);skathi;skathi;4;8;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;27;skathi;skathi
Saturn XXVIII (Erriapus);erriapus;erriapus;5;10;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;28;erriapus;erriapus
Saturn XXIX (Siarnaq);siarnaq;siarnaq;20;40;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;29;siarnaq;siarnaq
Saturn XXX (Thrymr);thrymr;thrymr;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;30;thrymr;thrymr
Saturn XXXI (Narvi);narvi;narvi;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;31;narvi;narvi
Saturn XXXII (Methone);methone;methone;1.6;3.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;32;methone;methone
Saturn XXXIII (Pallene);pallene;pallene;2.5;5;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;33;pallene;pallene
Saturn XXXIV (Polydeuces);polydeuces;polydeuces;1.3;2.6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;34;polydeuces;polydeuces
Saturn XXXV (Daphnis);daphnis;daphnis;3.8;7.6;2000-01-01-00-00-00;1991-01-01-00-00-00;Saturn;35;daphnis;daphnis
Saturn XXXVI (Aegir);aegir;aegir;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;36;aegir;aegir
Saturn XXXVII (Bebhionn);bebhionn;bebhionn;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;37;bebhionn;bebhionn
Saturn XXXVIII (Bergelmir);bergelmir;bergelmir;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;38;bergelmir;bergelmir
Saturn XXXIX (Bestla);bestla;bestla;3.5;7;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;39;bestla;bestla
Saturn XL (Farbauti);farbauti;farbauti;2.5;5;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;40;farbauti;farbauti
Saturn XLI (Fenrir);fenrir;fenrir;2;4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;41;fenrir;fenrir
Saturn XLII (Fornjot);fornjot;fornjot;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;42;fornjot;fornjot
Saturn XLIII (Hati);hati;hati;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;43;hati;hati
Saturn XLIV (Hyrrokkin);hyrrokkin;hyrrokkin;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;44;hyrrokkin;hyrrokkin
Saturn XLV (Kari);kari;kari;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;45;kari;kari
Saturn XLVI (Loge);loge;loge;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;46;loge;loge
Saturn XLVII (Skoll);skoll;skoll;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;47;skoll;skoll
Saturn XLVIII (Surtur);surtur;surtur;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;48;surtur;surtur
Saturn XLIX (Anthe);anthe;649;0.9;1.8;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;49;anthe;anthe
Saturn L (Jarnsaxa);jarnsaxa;jarnsaxa;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;50;jarnsaxa;jarnsaxa
Saturn LI (Greip);greip;greip;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;51;greip;greip
Saturn LII (Tarqeq);tarqeq;tarqeq;3;6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;52;tarqeq;tarqeq
Saturn LIII (Aegaeon);aegaeon;aegaeon;0.3;0.6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;53;aegaeon;aegaeon
