Name;Name_ru;Designation;Constell;Vmag;HIP;Bayer;RA;Dec;
Aldhanab;Альданаб;HR 8353;Gru;3;108085;γ Gru;328.482192;-37.364855;
Aldhibah;Альдибах;HR 6396;Dra;3.17;83895;ζ Dra;257.19665;65.714684;
Aldulfin;Альдулфин;HR 7852;Del;4.03;101421;ε Del;308.303216;11.303261;
Alfirk;Альфирк;HR 8238;Cep;3.23;106032;β Cep;322.164987;70.560715;
Algedi;Альгеди;HR 7754;Cap;3.58;100064;α2 Cep;304.513566;-12.544852;
Algenib;Альгениб;HR 39;Peg;2.83;1067;γ Peg;3.308963;15.183594;
Algieba;Альгиеба;HR 4057;Leo;2.61;50583;γ1 Leo;154.993144;19.841489;
Algol;Альголь;HR 936;Per;2.09;14576;β Per;47.042215;40.955648;
Algorab;Альгораб;HR 4757;Crv;2.94;60965;δ Crv;187.466063;-16.515431;
Alhena;Альхена;HR 2421;Gem;1.93;31681;γ Gem;99.42796;16.39928;
Alioth;Алия;HR 4905;UMa;1.76;62956;ε UMa;193.50729;55.959823;
Aljanah;Альжанах;HR 7949;Cyg;2.48;102488;ε Cyg;311.552843;33.970257;
Alkaid;Алкаид;HR 5191;UMa;1.85;67301;η UMa;206.885157;49.313267;
Alkalurops;Алькалуропс;HR 5733;Boo;4.31;75411;μ Boo;231.122618;37.377169;
Alkaphrah;Алькафрах;HR 3594;UMa;4.16;44471;κ UMa;135.906365;47.156525;
Alkarab;Алькараб;HR 8905;Peg;4.42;115623;υ Peg;351.344931;23.4041;
Alkes;Алькес;HR 4287;Crt;4.08;5374;α Crt;164.943604;-18.298783;
Almaaz;Альмааз;HR 1605;Aur;3.03;23416;ε Aur;75.492219;43.823307;
Almach;Альмак;HR 603;And;2.1;964;γ And;30.974804;42.329725;
Alnair;Альнаир;HR 8425;Gru;1.73;109268;α Gru;332.05827;-46.960974;
Alnasl;Альназль;HR 6746;Sgr;2.98;88635;γ2 Sgr;271.452025;-30.4241;
Alnilam;Альнилам;HR 1903;Ori;1.69;26311;ε Ori;84.053389;-1.201919;
Alnitak;Альнилак;HR 1948;Ori;1.74;26727;ζ Ori;85.189694;-1.942574;
Alniyat;Альният;HR 6084;Sco;2.9;80112;σ Sco;245.297149;-25.592792;
Alphard;Альфард;HR 3748;Hya;1.99;4639;α Hya;141.896847;-8.658602;
Alphecca;Альфекка;HR 5793;CrB;2.22;76267;α CrB;233.67195;26.714693;
Alpheratz;Альферац;HR 15;And;2.07;677;α And;2.096916;29.090431;
Alpherg;Альферг;HR 437;Psc;3.83;7097;η Psc;22.870873;15.345823;
Alrakis;Альракис;HR 6370;Dra;5.55;83608;μ Dra;256.333807;54.470078;
Alrescha;Альриша;HR 596;Psc;3.82;9487;α Psc;30.511772;2.763735;
Alruba;Альруба;HR 6618;Dra;5.75;86782;- Dra;265.996568;53.801715;
Alsafi;Альсафи;HR 7462;Dra;4.67;961;σ Dra;293.08996;69.661176;
Alsciaukat;Альциаукат;HR 3275;Lyn;4.25;41075;31 Lyn;125.708792;43.188131;
Alsephina;Альсефина;HR 3485;Vel;1.99;42913;δ Vel;131.175944;-54.708819;
Alshain;Альшаин;HR 7602;Aql;3.71;98036;β Aql;298.828304;6.406763;
Alshat;Альшат;HR 7773;Cap;4.77;10031;ν Cap;305.165898;-12.759079;
Altair;Альтаир;HR 7557;Aql;0.76;97649;α Aql;297.695827;8.868321;
Altais;Альтаис;HR 7310;Dra;3.07;94376;δ Dra;288.13875;67.661541;
Alterf;Альтерф;HR 3773;Leo;4.32;4675;λ Leo;142.930115;22.96797;
Aludra;Альудра;HR 2827;CMa;2.45;35904;η CMa;111.02376;-29.303106;
Alula Australis;Алюла Австралис;HR 4375;UMa;4.41;55203;ξ UMa;169.545423;31.529161;
Alula Borealis;Алюла Бореалис;HR 4377;UMa;3.49;55219;ν UMa;169.619737;33.094305;
Alya;Алия;HR 7141;Ser;4.62;92946;θ1 Ser;284.054949;4.203602;
Alzirr;Альзирр;HR 2484;Gem;3.35;32362;ξ Gem;101.322351;12.895592;
Amadioha;Амадиоха;HD 43197;CMa;8.98;2955;_ CMa;93.39859;-29.897264;
Amansinaya;Амансиная;WASP-34;Crt;10.3;0;_ Crt;165.399575;-23.860662;
Anadolu;Анадолу;WASP-52;Peg;12.2;0;_ Peg;348.494823;8.76127;
Ancha;Анха;HR 8499;Aqr;4.17;13288;τ2 Eri;334.208485;-7.783291;
Angetenar;Ангетинар;HR 850;Eri;4.76;5782;_ UMa;42.759674;-21.004018;
Aniara;Аниара;HD 102956;UMa;7.86;2081;α  Phe;177.843796;57.640734;
Ankaa;Анкаа;HR 99;Phe;2.4;;α Vul;6.570939;-42.306084;
Anser;Ансер;HR 7405;Vul;4.44;80763;α Sco;292.176375;24.664903;
Antares;Антарес;HR 6134;Sco;1.06;72845;_ Boo;247.351915;-26.432003;
Arcalís;Аркалис;HD 131496;Boo;7.8;69673;α Boo;223.345951;18.235409;
Arcturus;Арктур;HR 5340;Boo;-0.05;95294;β2 Sgr;213.9153;19.182409;
Arkab Posterior;Аркаб Постериор;HR 7343;Sgr;4.27;95241;β1 Sgr;290.80474;-44.799779;
Arkab Prior;Аркаб Приор;HR 7337;Sgr;3.96;25985;α Lep;290.659551;-44.458959;
Arneb;Арнеб;HR 1865;Lep;2.58;93506;ζ Sgr;83.182567;-17.822289;
Ascella;Асцелла;HR 7194;Sgr;2.6;42911;δ Cnc;285.653043;-29.880063;
Asellus Australis;Азелюс Австралис;HR 3461;Cnc;3.94;42806;γ Cnc;131.171248;18.154309;
Asellus Borealis;Азелюс Бореалис;HR 3449;Cnc;4.66;43109;ε Hya;130.821442;21.468501;
Ashlesha;Ашлеша;HR 3482;Hya;3.49;45556;ι Car;131.693794;6.418809;
Aspidiske;Аспидиске;HR 3699;Car;2.21;17579;21 Tau;139.272529;-59.275232;
Asterope;Астеропа;HR 1151;Tau;5.76;0;_ CMa;56.476987;24.554512;
Atakoraka;Атакорака;WASP-64;CMa;12.69;80331;η Dra;101.115022;-32.858383;
Athebyne;Атебин;HR 6132;Dra;2.73;17448;ο Per;245.997858;61.514214;
Atik;Атик;HR 1131;Per;3.84;17847;27 Tau;56.07972;32.28824;
Atlas;Атлас;HR 1178;Tau;3.62;82273;α TrA;57.290597;24.053415;
Atria;Атрия;HR 6217;TrA;1.91;41037;ε Car;252.166229;-69.027712;
Avior;Авиор;HR 3307;Car;1.86;118319;_ Cet;125.62848;-59.509484;
Axólotl;Аксолотл;HD 224693;Cet;8.23;13993;_ Eri;359.974298;-22.428116;
Ayeyarwady;Аеярвади;HD 18742;Eri;7.81;107136;π1 Cyg;45.044402;-20.802604;
Azelfafage;Азельфафага;HR 8301;Cyg;4.69;13701;η Eri;325.523602;51.189623;
Azha;Азха;HR 874;Eri;3.89;3817;ξ Pup;44.106873;-8.898145;
Azmidi;Азмиди;HR 3045;Pup;3.45;0;_Pup;117.323563;-24.859786;
Baekdu;Баекду;HD 133086;UMi;6.83;73136;8 UMi;224.201473;74.900923;
Barnard's Star;Звезда Барнарда;GJ 699;Oph;9.54;87937;V2500 Oph;269.454023;4.668288;
Baten Kaitos;Батен Каитос;HR 539;Cet;3.74;8645;ζ Cet;27.865137;-10.335044;
Beemim;Беемим;HR 1393;Eri;3.97;20535;υ3 Eri;66.009239;-34.016848;
Beid;Бейд;HR 1298;Eri;4.04;19587;ο1 Eri;62.966415;-6.83758;
Belel;Белел;HD 181342;Sgr;7.55;95124;_ Sgr;290.267627;-23.61957;
Bélénos;Беленос;HD 8574;Psc;7.12;0;γ Ori;21.302148;28.566695;
Bellatrix;Беллатрикс;HR 1790;Ori;1.64;25336;_ Per;81.282764;6.349703;
Berehynia;Берехения;HAT-P-15;Per;12.02;27989;α Ori;66.248062;39.460642;
Betelgeuse;Бетельгейзе;HR 2061;Ori;0.45;6193;41  Ari;88.792939;7.407064;
Bharani;Бхарани;HR 838;Ari;3.61;48711;_ Sex;42.495972;27.260507;
Bibhā;Бибха;HD 86081;Sex;8.73;109427;θ Peg;149.024661;-3.808423;
Biham;Бихам;HR 8450;Peg;3.52;107251;_ Aqr;332.549939;6.197863;
Bosona;Босона;HD 206610;Aqr;8.34;14838;δ Ari;325.853751;-7.408253;
Botein;Ботейн;HR 951;Ari;4.35;73714;σ Lib;47.907356;19.726674;
Brachium;Брахиум;HR 5603;Lib;3.25;2638;_ Men;226.017567;-25.281961;
Bubup;Бубуп;HD 38283;Men;6.69;12191;_ And;84.258403;-73.699346;
Buna;Буна;HD 16175;And;7.28;106786;ξ Aqr;39.257963;42.06263;
Bunda;Бунда;HR 8264;Aqr;4.8;6643;_ Psc;324.437956;-7.854202;
Canopus;Канопус;HR 2326;Car;-0.62;30438;α Car;95.987958;-52.695661;
Capella;Капелла;HR 1708;Aur;0.08;24608;α Aur;79.172328;45.997991;
Caph;Каф;HR 21;Cas;2.28;746;β Cas;2.294522;59.149781;
Castor;Кастор;HR 2891;Gem;1.98;3685;α Gem;113.649428;31.888276;
Castula;Кастула;HR 265;Cas;4.62;4422;υ2 Cas;14.166271;59.181055;
Cebalrai;Цебальрай;HR 6603;Oph;2.76;86742;β Oph;265.868136;4.5673;
Ceibo;Цейбо;HD 63454;Cha;9.37;37284;_ Cha;114.841057;-78.278974;
Celaeno;Целено;HR 1140;Tau;5.45;17489;16 Tau;56.200893;24.289468;
Cervantes;Сервантес;HR 6585;Ara;5.15;86796;μ Ara;266.036255;-51.834051;
Chalawan;Чалаван;HR 4277;UMa;5.03;53721;47 UMa;164.866553;40.430256;
Chamukuy;Чамукуй;HR 1412;Tau;3.73;20894;θ2 Tau;67.165586;15.870882;
Chaophraya;Чаопрайя;WASP-50;Eri;11.74;0;_ Eri;43.688059;-10.898063;
Chara;Хара;HR 4785;CVn;4.24;61317;β CVn;188.435603;41.357479;
Chasoň;Часонь;HAT-P-5;Lyr;11.96;0;_ Lyr;274.40547;36.621436;
Chechia;Чечия;HD 192699;Aql;6.44;99894;_ Aql;304.025017;4.580795;
Chertan;Хертан;HR 4359;Leo;3.33;54879;θ Leo;168.560019;15.429571;
Citadelle;Цитадель;HD 1502;Psc;8.36;1547;_ Psc;4.82111;14.054756;
Citalá;Цитала;HD 52265;Mon;6.29;33719;_ Mon;105.075149;-5.367161;
Cocibolca;Коциболка;HD 4208;Scl;7.78;3479;_ Scl;11.111045;-26.515683;
Copernicus;Коперник;HR 3522;Cnc;5.95;43587;55 Cnc;133.149212;28.33082;
Cor Caroli;Сердце Карла;HR 4915;CVn;2.89;63125;α2 CVn;194.006943;38.318376;
Cujam;Каям;HR 6117;Her;4.57;80463;ω Her;246.353979;14.033274;
Cursa;Курса;HR 1666;Eri;2.78;23875;β Eri;76.96244;-5.086446;
Dabih;Дабих;HR 7776;Cap;3.05;100345;β1 Cap;305.252803;-14.781405;
Dalim;Далим;HR 963;For;3.86;14879;α For;48.018864;-28.98762;
Deneb;Денеб;HR 7924;Cyg;1.25;102098;α Cyg;310.35798;45.280339;
Deneb Algedi;Денеб Альгеди;HR 8322;Cap;2.85;107556;δ Cap;326.760184;-16.127287;
Denebola;Денебола;HR 4534;Leo;2.14;57632;β Leo;177.26491;14.572058;
Diadem;Диадема;HR 4968;Com;4.85;64241;α Com;197.497029;17.529447;
Dingolay;Динголай;HD 96063;Leo;8.21;54158;_ Leo;166.185228;-2.513218;
Diphda;Дифда;HR 188;Cet;2.04;3419;β Cet;10.897379;-17.986606;
Dìwö;Диво;WASP-17;Sco;11.49;0;_ For;239.962287;-28.061753;
Diya;Дия;WASP-72;For;10.97;0;_ UMa;41.040041;-30.169045;
Dofida;Дофида;HD 117618;Cen;7.17;66047;_ UMa;203.106482;-47.271365;
Dombay;Домбай;HAT-P-3;UMa;11.52;0;δ Sco;206.094141;48.028668;
Dschubba;Джубба;HR 5953;Sco;2.29;78401;α UMa;240.083359;-22.62171;
Dubhe;Дубхе;HR 4301;UMa;1.81;54061;ψ1 Dra;165.931965;61.751035;
Dziban;Дзибан;HR 6636;Dra;4.57;86614;_ Sco;265.484814;72.148847;
Ebla;Эбла;HD 218566;Psc;8.59;114322;_ Psc;347.294696;-2.260746;
Edasich;Эдасих;HR 5744;Dra;3.29;75458;ι Dra;231.232396;58.966063;
Electra;Электра;HR 1142;Tau;3.72;17499;17 Tau;56.218904;24.113336;
Elgafar;Эльгафар;HR 5409;Vir;4.84;70755;ϕ Vir;217.050575;-2.227957;
Elkurud;Элькуруд;HR 2177;Col;5;29034;θ Col;91.881801;-37.25292;
Elnath;Эльнат;HR 1791;Tau;1.65;25428;β Tau;81.572971;28.607452;
Eltanin;Эльтанин;HR 6705;Dra;2.24;87833;γ Dra;269.151541;51.488896;
Emiw;Эмив;HD 7199;Tuc;8.06;5529;_ Tuc;17.696756;-66.188164;
Enif;Эниф;HR 8308;Peg;2.38;107315;ε Peg;326.046484;9.875009;
Errai;Эрраи;HR 8974;Cep;3.21;116727;γ Cep;354.836655;77.632313;
Fafnir;Фафнир;HR 6945;Dra;4.82;90344;42 Dra;276.496406;65.56348;
Fang;Фанг;HR 5944;Sco;2.89;78265;π Sco;239.712972;-26.114108;
Fawaris;Фаварис;HR 7528;Cyg;2.9;97165;δ Cyg;296.243658;45.13081;
Felis;Фелис;HR 3923;Hya;4.94;48615;_  Hya;148.717528;-19.009336;
Felixvarela;Феликсварела;BD-17 63;Cet;9.62;2247;_ Cet;7.142942;-16.226345;
Flegetonte;Флегетонте;HD 102195;Vir;8.07;57370;_ Vir;176.42622;2.821479;
Fomalhaut;Фомальгаут;HR 8728;PsA;1.17;113368;α PsA;344.412693;-29.622237;
Formosa;Формоза;HD 100655;Leo;6.45;56508;_ Leo;173.765637;20.441545;
Franz;Франц;HAT-P-14;Her;9.86;0;_ Her;260.11616;38.242197;
Fulu;Фулу;HR 153;Cas;3.69;2920;ζ Cas;9.242851;53.896908;
Fumalsamakah;Фумальсамаках;HR 8773;Psc;4.48;113889;β Psc;345.969225;3.820045;
Funi;Фуни;HD 109246;Dra;8.75;61177;_ Dra;188.029952;74.489547;
Furud;Фуруд;HR 2282;CMa;3.02;30122;ζ CMa;95.0783;-30.063367;
Fuyue;Фуюэ;HR 6630;Sco;3.19;87261;G Sco;267.464503;-37.043305;
Gacrux;Гакрукс;HR 4763;Cru;1.59;61084;gam Cru;187.791498;-57.113213;
Gakyid;Гакиид;HD 73534;Cnc;8.23;42446;_ Cnc;129.815846;12.960375;
Geminga;Геминга;PSR B0633+17;Gem;-;0;_ Gem;98.475638;17.770253;
Giausar;Гиаусар;HR 4434;Dra;3.82;56211;λ Dra;172.85092;69.331075;
Gienah;Гиена;HR 4662;Crv;2.58;59803;γ Crv;183.951543;-17.541929;
Ginan;Гинан;HR 4700;Cru;3.59;60260;ε Cru;185.340039;-60.401147;
Gloas;Глоас;WASP-13;Lyn;10.51;0;_ Lyn;140.102977;33.882417;
Gomeisa;Гомейса;HR 2845;CMi;2.89;36188;β CMi;111.787674;8.289316;
Grumium;Грумиум;HR 6688;Dra;3.73;87585;ξ Dra;268.382207;56.872646;
Gudja;Гуджа;HR 5879;Ser;4.09;7745;κ Ser;237.184903;18.141564;
Gumala;Гумала;HD 179949;Sgr;6.25;94645;V5652 Sgr;288.888459;-24.179354;
Guniibuu;Гуниибуу;HR 6402;Oph;5.07;84405;36 Oph;258.837875;-26.598892;
Hadar;Хадар;HR 5267;Cen;0.61;68702;β Cen;210.955856;-60.373035;
Haedus;Хедус;HR 1641;Aur;3.18;23767;η Aur;76.628722;41.234476;
Hamal;Хамаль;HR 617;Ari;2.01;9884;α Ari;31.793357;23.462418;
Hassaleh;Хассалех;HR 1577;Aur;2.69;23015;ι Aur;74.248421;33.1661;
Hatysa;Хатиса;HR 1899;Ori;2.8;26241;ι Ori;83.858258;-5.909901;
Helvetios;Гельветиос;HR 8729;Peg;5.49;113357;51 Peg;344.366583;20.768831;
Heze;Хезе;HR 5107;Vir;3.38;66249;ζ Vir;203.6733;-0.59582;
Hoggar;Хоггар;HD 28678;Tau;8.38;21109;_ Tau;67.856059;4.575295;
Homam;Хомам;HR 8634;Peg;3.41;112029;ζ Peg;340.365503;10.831363;
Horna;Хорна;HAT-P-38;Tri;12.53;0;_ Tri;35.383251;32.246136;
Hunahpú;Хунахпу;HD 98219;Crt;8.05;55174;_ Crt;169.448138;-23.975415;
Hunor;Хунор;HAT-P-2;Her;8.72;0;_ Her;245.151491;41.048086;
Iklil;Иклил;HR 5928;Sco;3.87;78104;ρ Sco;239.221151;-29.214073;
Illyrian;Иллириан;HD 82886;LMi;7.62;47087;_ LMi;143.938267;34.780742;
Imai;Имай;HR 4656;Cru;2.75;59747;δ Cru;183.78632;-58.748927;
Inquill;Инквил;HD 156411;Ara;6.67;84787;_ Ara;259.964168;-48.54932;
Intan;Интан;HD 20868;For;9.92;15578;_ For;50.177891;-33.730104;
Intercrus;Интеркрус;HR 3743;UMa;5.41;46471;_ UMa;142.166618;45.601482;
Irena;Ирена;WASP-38;Her;9.41;0;_ Her;243.959855;10.032579;
Itonda;Итонда;HD 208487;Gru;7.47;108375;_ Gru;329.332698;-37.763624;
Izar;Ицар;HR 5506;Boo;2.35;72105;ε Boo;221.246763;27.074207;
Jabbah;Джаббах;HR 6027;Sco;4.5;79374;ν Sco;242.998894;-19.460708;
Jishui;Цзишуй;HR 2930;Gem;4.89;37265;ο Gem;114.791387;34.584346;
Kaffaljidhma;Каффальджидхма;HR 804;Cet;3.56;12706;γ Cet;40.825163;3.235816;
Kalausi;Калауси;HD 83443;Vel;8.23;47202;_ Vel;144.299282;-43.272204;
Kamuy;Камуи;HD 145457;CrB;6.57;79219;_ CrB;242.51631;26.742748;
Kang;Канг;HR 5315;Vir;4.18;69427;κ Vir;213.223939;-10.273704;
Karaka;Карака;HD 137388;Aps;8.71;76351;_ Aps;233.916337;-80.204594;
Kaus Australis;Каус Австралис;HR 6879;Sgr;1.79;90185;ε Sgr;276.042993;-34.384616;
Kaus Borealis;Каус Бореалис;HR 6913;Sgr;2.82;90496;λ Sgr;276.992668;-25.421701;
Kaus Media;Каус Медия;HR 6859;Sgr;2.72;89931;δ Sgr;275.248508;-29.828104;
Kaveh;Кавех;HD 175541;Ser;8.02;92895;_ Ser;283.92035;4.265323;
Keid;Кейд;HR 1325;Eri;4.43;19849;ο2 Eri;63.817999;-7.652872;
Khambalia;Камбалия;HR 5359;Vir;4.52;69974;λ Vir;214.777468;-13.371096;
Kitalpha;Китальфа;HR 8131;Equ;3.92;104987;α Equ;318.955949;5.247865;
Kochab;Кохаб;HR 5563;UMi;2.07;72607;β UMi;222.676357;74.155504;
Koeia;Койя;HIP 12961;Eri;10.25;12961;_ Eri;41.678695;-23.086612;
Koit;Койт;XO-4;Lyn;10.62;0;_ Lyn;110.388168;58.268087;
Kornephoros;Корнефорос;HR 6148;Her;2.78;80816;β Her;247.554998;21.489611;
Kraz;Крац;HR 4786;Crv;2.65;61359;β Crv;188.59681;-23.396759;
Kurhah;Курхах;HR 8417;Cep;4.26;108917;ξ Cep;330.947724;64.627971;
La Superba;Ла Суперба;HR 4846;CVn;5.42;62223;Y CVn;191.282615;45.440257;
Larawag;Лараваг;HR 6241;Sco;2.29;82396;ε Sco;252.540878;-34.293232;
Lerna;Лерна;HAT-P-42;Hya;12.15;0;_ Hya;135.344371;6.097227;
Lesath;Лесатх;HR 6508;Sco;2.7;85696;υ Sco;262.690979;-37.295813;
Libertas;Либертас;HR 7595;Aql;4.71;97938;ξ Aql;298.562008;8.461453;
Lich;Лич;PSR B1257+12;Vir;-;0;- Vir;195.012701;12.682417;
Liesma;Лиесма;HD 118203;UMa;8.05;66192;_ UMa;203.510581;53.728527;
Lilii Borea;Северная Лилия;HR 824;Ari;4.52;13061;39 Ari;41.977256;29.247115;
Lionrock;Лионрок;HD 212771;Aqr;7.6;110813;_ Aqr;336.762801;-17.263656;
Lucilinburhuc;Люсилинбурхук;HD 45350;Aur;7.89;30860;_ Aur;97.190463;38.962962;
Lusitania;Лузитания;HD 45652;Mon;8.1;30905;_ Mon;97.304966;10.933891;
Maasym;Масим;HR 6526;Her;4.41;85693;λ Her;262.684626;26.110645;
Macondo;Макондо;HD 93083;Ant;8.3;52521;_ Ant;161.087146;-33.577024;
Mago;Маго;HD 32518;Cam;6.43;24003;_ Cam;77.403;69.639404;
Mahasim;Махасим;HR 2095;Aur;2.65;28380;θ Aur;89.930292;37.212585;
Mahsati;Махсати;HD 152581;Oph;8.38;82651;_ Oph;253.431594;11.973748;
Maia;Майа;HR 1149;Tau;3.87;17573;20 Tau;56.456695;24.367751;
Malmok;Малмок;WASP-39;Vir;11.89;0;V732 Vir;217.32673;-3.444501;
Marfik;Марфик;HR 6149;Oph;3.82;80883;λ Oph;247.728453;1.983888;
Markab;Маркаб;HR 8781;Peg;2.49;113963;α Peg;346.190223;15.205267;
Markeb;Маркеб;HR 3734;Vel;2.47;45941;α Vel;140.528407;-55.010667;
Márohu;Мароху;WASP-6;Aqr;12.16;0;_ Aqr;348.157237;-22.673966;
Marsic;Марсик;HR 6008;Her;5;79043;α Her;242.018857;17.04698;
Matar;Матар;HR 8650;Peg;2.93;112158;η Peg;340.750579;30.221244;
Mazaalai;Мазаалай;HAT-P-21;UMa;11.72;0;_ UMa;171.274941;41.027964;
Mebsuta;Мебсута;HR 2473;Gem;3.06;32246;ε Gem;100.983026;25.131127;
Megrez;Мегрец;HR 4660;UMa;3.32;59774;δ UMa;183.856503;57.032615;
Meissa;Майсса;HR 1879;Ori;3.39;26207;λ Ori;83.784486;9.934156;
Mekbuda;Мекбуда;HR 2650;Gem;4.01;34088;ζ Gem;106.027215;20.570295;
Meleph;Мелеф;HR 3429;Cnc;6.29;42556;ε Cnc;130.112544;19.544809;
Menkalinan;Менкалинан;HR 2088;Aur;1.9;28360;β Aur;89.882179;44.947433;
Menkar;Менкар;HR 911;Cet;2.54;14135;α Cet;45.569885;4.089737;
Menkent;Менкент;HR 5288;Cen;2.06;68933;θ Cen;211.670617;-36.369958;
Menkib;Менкиб;HR 1228;Per;3.98;18614;ξ Per;59.741253;35.791032;
Merak;Мирак;HR 4295;UMa;2.34;53910;β UMa;165.460319;56.382426;
Merga;Мерга;HR 5533;Boo;5.76;72487;38 Boo;222.327791;46.116206;
Meridiana;Меридиана;HR 7254;CrA;4.11;94114;α CrA;287.368087;-37.904473;
Merope;Меропа;HR 1156;Tau;4.14;17608;23 Tau;56.581552;23.948348;
Mesarthim;Месартхим;HR 546;Ari;4.75;8832;γ1 Ari;28.38256;19.293852;
Miaplacidus;Миаплацидус;HR 3685;Car;1.67;45238;β Car;138.299906;-69.717208;
Mimosa;Мимоза;HR 4853;Cru;1.25;62434;β Cru;191.930263;-59.688764;
Minchir;Минхир;HR 3418;Hya;4.45;42402;σ Hya;129.689323;3.341436;
Minelauva;Минальаува;HR 4910;Vir;3.39;63090;δ Vir;193.900869;3.39747;
Mintaka;Минтака;HR 1852;Ori;2.25;25930;δ Ori;83.001667;-0.299095;
Mira;Мира;HR 681;Cet;6.47;10826;ο Cet;34.836617;-2.97764;
Mirach;Мирах;HR 337;And;2.07;5447;β And;17.433013;35.620557;
Miram;Мирам;HR 834;Per;3.77;13268;η Per;42.674207;55.895497;
Mirfak;Мирфак;HR 1017;Per;1.79;15863;α Per;51.080709;49.861179;
Mirzam;Мирзам;HR 2294;CMa;1.98;30324;β Cma;95.674939;-17.955919;
Misam;Мисам;HR 941;Per;3.79;14668;κ Per;47.374048;44.857541;
Mizar;Мицар;HR 5054;UMa;2.23;65378;ζ UMa;200.981429;54.925362;
Moldoveanu;Молдавская;XO-1;CrB;11.28;0;_ CrB;240.54936;28.169561;
Monch;Монк;HD 130322;Vir;8.04;72339;_ Vir;221.886361;-0.281474;
Montuno;Монтуно;WASP-79;Eri;10.06;0;_ Eri;66.370903;-30.600447;
Morava;Морава;WASP-60;Peg;12.18;0;_ Peg;356.666561;31.155937;
Moriah;Мориах;HAT-P-23;Del;12.32;0;_ Del;306.123848;16.76217;
Mothallah;Моталлах;HR 544;Tri;3.42;8796;α Tri;28.27045;29.578826;
Mouhoun;Мухун;HD 30856;Eri;7.91;22491;_ Eri;72.574423;-24.368843;
Mpingo;Мпинго;WASP-71;Cet;10.7;0;_ Cet;29.26335;0.758855;
Muliphein;Мулифен;HR 2657;CMa;4.11;34045;γ CMa;105.939554;-15.633286;
Muphrid;Муфрид;HR 5235;Boo;2.68;67927;η Boo;208.671161;18.397717;
Muscida;Мусцида;HR 3323;UMa;3.35;41704;ο UMa;127.566128;60.71817;
Musica;Музыка;HR 8030;Del;5.48;103527;18 Del;314.608058;10.839286;
Muspelheim;Музпельхейм;HAT-P-29;Per;11.89;0;_ Per;33.13116;51.778767;
Nahn;Нан;HR 3627;Cnc;5.7;44946;ξ Cnc;137.339722;22.045446;
Naledi;Наледи;WASP-62;Dor;10.12;0;_ Dor;87.139974;-63.988441;
Naos;Наос;HR 3165;Pup;2.21;39429;ζ Pup;120.896031;-40.003148;
Nashira;Нашира;HR 8278;Cap;3.69;106985;γ Cap;325.022735;-16.662308;
Nasti;Насти;HD 68988;UMa;8.2;48235;_ Vel;124.592386;61.460721;
Natasha;Наташа;HD 85390;Vel;8.54;73555;β Boo;147.510404;-49.790266;
Nekkar;Неккар;HR 5602;Boo;3.49;7607;51 And;225.48651;40.390567;
Nembus;Нембус;HR 464;And;3.59;5054;_ Phe;24.498154;48.628214;
Nenque;Ненке;HD 6434;Phe;7.72;32916;_ Aur;16.167293;-39.488218;
Nervia;Нервия;HD 49674;Aur;8.1;33856;σ CMa;102.877151;40.867757;
Nihal;Нихал;HR 1829;Lep;2.81;74961;_ Boo;82.061346;-20.759441;
