index,name,name_ru,radius,diameter,end_time,begin_time,planet_name,number,state_index
47,Kallichore,Каллихор,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,44,5
48,Helike,Гелике,2,4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,45,5
49,Carpo,Карпо,1.5,3,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,46,5
50,Eukelade,Эвкеладе,2,4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,47,5
51,Cyllene,Силене,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,48,5
52,Kore,Коре,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,49,5
53,Herse,Герсе,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,50,5
54,2010j1,2010j1,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,51,5
55,2010j2,2010j2,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,52,5
56,Dia,Диа,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,53,5
57,Mimas,Мимас,198.2,396.4,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,1,6
58,Enceladus,Энцелад,252.1,504.2,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,2,6
59,Tethys,Тефия,533,1066,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,3,6
60,Dione,Диона,561.7,1123.4,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,4,6
61,Rhea,Рея,764.3,1528.6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,5,6
62,Titan,Титан,2574.73,5149.46,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,6,6
63,Hyperion,Гиперион,135,270,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,7,6
64,Iapetus,Япет,735.6,1471.2,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,8,6
65,Phoebe,Феба,106.5,213,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,9,6
66,Janus,Янус,89.5,179,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,10,6
67,Epimetheus,Эпиметей,58.1,116.2,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,11,6
68,Helene,Елена,17.6,35.2,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,12,6
69,Telesto,Телесто,12.4,24.8,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,13,6
70,Calypso,Калипсо,10.7,21.4,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,14,6
71,Atlas,Атлас,15.1,30.2,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,15,6
72,Prometheus,Прометей,43.1,86.2,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,16,6
73,Pandora,Пандора,40.7,81.4,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,17,6
74,Pan,Пан,14.1,28.2,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,18,6
75,Ymir,Имир,9,18,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,19,6
76,Paaliaq,Палиак,11,22,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,20,6
77,Tarvos,Тарвос,7.5,15,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,21,6
78,Ijiraq,Иджирак,6,12,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,22,6
79,Suttungr,Саттунгр,3.5,7,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,23,6
80,Kiviuq,Кивиок,8,16,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,24,6
81,Mundilfari,Мундильфари,3.5,7,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,25,6
82,Albiorix,Альбиорикс,16,32,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,26,6
83,Skathi,Скади,4,8,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,27,6
84,Erriapus,Эррипо,5,10,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,28,6
85,Siarnaq,Сиарнак,20,40,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,29,6
86,Thrymr,Тримр,3.5,7,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,30,6
87,Narvi,Нарви,3.5,7,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,31,6
88,Methone,Мефона,1.6,3.2,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,32,6
89,Pallene,Паллена,2.5,5,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,33,6
90,Polydeuces,Полидевк,1.3,2.6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,34,6
91,Daphnis,Дафнис,3.8,7.6,2000-01-01-00-00-00,1991-01-01-00-00-00,Saturn,35,6
92,Aegir,Эгир,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,36,6
93,Bebhionn,Бебхионн,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,37,6
94,Bergelmir,Бергельмир,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,38,6
95,Bestla,Бестла,3.5,7,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,39,6
96,Farbauti,Фарбаути,2.5,5,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,40,6
97,Fenrir,Фенрир,2,4,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,41,6
98,Fornjot,Форньёт,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,42,6
99,Hati,Хати,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,43,6
100,Hyrrokkin,Гирроккин,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,44,6
101,Kari,Кари,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,45,6
102,Loge,Ложе,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,46,6
103,Skoll,Сколл,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,47,6
104,Surtur,Суртур,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,48,6
105,Anthe,Анфе,0.9,1.8,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,49,6
106,Jarnsaxa,Ярнсакса,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,50,6
107,Greip,Грейп,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,51,6
108,Tarqeq,Таркек,3,6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,52,6
109,Aegaeon,Эгеон,0.3,0.6,2000-01-01-00-00-00,1970-07-30-00-00-23,Saturn,53,6
110,Cordelia,Корделия,20.1,40.2,2000-01-01-00-00-00,1980-01-01-00-00-00,Uranus,1,7
111,Ophelia,Офелия,21.4,42.8,2000-01-01-00-00-00,1980-01-01-00-00-00,Uranus,2,7
112,Bianca,Бианка,27,54,2000-01-01-00-00-00,1980-01-01-00-00-00,Uranus,3,7
113,Cressida,Крессида,41,82,2000-01-01-00-00-00,1980-01-01-00-00-00,Uranus,4,7
114,Desdemona,Дездемона,35,70,2000-01-01-00-00-00,1980-01-01-00-00-00,Uranus,5,7
115,Juliet,Джульетта,53,106,2000-01-01-00-00-00,1980-01-01-00-00-00,Uranus,6,7
116,Portia,Порция,70,140,2000-01-01-00-00-00,1980-01-01-00-00-00,Uranus,7,7
117,Rosalind,Розалинда,36,72,2000-01-01-00-00-00,1980-01-01-00-00-00,Uranus,8,7
118,Cupid,Купидон,9,18,2000-01-01-00-00-00,1986-01-01-00-00-00,Uranus,9,7
119,Belinda,Белинда,45,90,2000-01-01-00-00-00,1980-01-01-00-00-00,Uranus,10,7
120,Perdita,Пердита,13,26,2000-01-01-00-00-00,1986-01-01-00-00-00,Uranus,11,7
121,Puck,Пак,81,162,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,12,7
122,Mab,Маб,12,24,2000-01-01-00-00-00,1986-01-01-00-00-00,Uranus,13,7
123,Miranda,Миранда,235.8,471.6,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,14,7
124,Ariel,Ариэль,578.9,1157.8,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,15,7
125,Umbriel,Умбриэль,584.7,1169.4,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,16,7
126,Titania,Титания,788.9,1577.8,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,17,7
127,Oberon,Оберон,761.4,1522.8,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,18,7
128,Francisco,Франциско,11,22,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,19,7
129,Caliban,Калибан,36,72,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,20,7
130,Stephano,Стефано,16,32,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,21,7
131,Trinculo,Тринкуло,9,18,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,22,7
132,Sycorax,Сикоракса,75,150,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,23,7
133,Margaret,Маргарет,10,20,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,24,7
134,Prospero,Просперо,25,50,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,25,7
135,Setebos,Сетебос,24,48,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,26,7
136,Ferdinand,Фердинанд,10,20,2000-01-01-00-00-00,1916-04-02-00-00-32,Uranus,27,7
137,Naiad,Наяда,33,66,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,1,8
138,Thalassa,Таласса,41,82,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,2,8
139,Despina,Деспина,75,150,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,3,8
140,Galatea,Галатея,88,176,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,4,8
141,Larissa,Ларисса,97,194,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,5,8
142,2004n1,2004n1,9,18,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,6,8
143,Proteus,Протеус,210,420,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,7,8
144,Triton,Тритон,1353.4,2706.8,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,8,8
145,Nereid,Нереида,170,340,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,9,8
146,Halimede,Галимеда,31,62,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,10,8
147,Sao,Сао,22,44,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,11,8
148,Laomedeia,Лаомедея,21,42,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,12,8
149,Psamathe,Псамафа,20,40,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,13,8
150,Neso,Несо,30,60,2000-01-01-00-00-00,1950-01-01-00-00-00,Neptune,14,8
