# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu;
# Wed Apr  1 11:51:09 2026;
#;
# User preference: * 6151;
#;
# COLUMN pl_name:        Planet Name;
# COLUMN hostname:       Host Name;
# COLUMN pl_letter:      Planet Letter;
# COLUMN hd_name:        HD ID;
# COLUMN sy_snum:        Number of Stars;
# COLUMN sy_pnum:        Number of Planets;
# COLUMN disc_year:      Discovery Year;
# COLUMN pl_orbper:      Orbital Period [days];
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au];
# COLUMN pl_rade:        Planet Radius [Earth Radius];
# COLUMN pl_radj:        Planet Radius [Jupiter Radius];
# COLUMN pl_orbeccen:    Eccentricity;
# COLUMN pl_insol:       Insolation Flux [Earth Flux];
# COLUMN pl_eqt:         Equilibrium Temperature [K];
# COLUMN pl_orbincl:     Inclination [deg];
# COLUMN st_spectype:    Spectral Type;
# COLUMN st_teff:        Stellar Effective Temperature [K];
# COLUMN st_rad:         Stellar Radius [Solar Radius];
# COLUMN st_mass:        Stellar Mass [Solar mass];
# COLUMN st_met:         Stellar Metallicity [dex];
# COLUMN st_age:         Stellar Age [Gyr];
# COLUMN rastr:          RA [sexagesimal];
# COLUMN ra:             RA [deg];
# COLUMN decstr:         Dec [sexagesimal];
# COLUMN dec:            Dec [deg];
# COLUMN glat:           Galactic Latitude [deg];
# COLUMN glon:           Galactic Longitude [deg];
# COLUMN elat:           Ecliptic Latitude [deg];
# COLUMN elon:           Ecliptic Longitude [deg];
# COLUMN sy_dist:        Distance [pc];
# COLUMN sy_plx:         Parallax [mas];
#;
pl_name,hostname,pl_letter,hd_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_age,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_dist,sy_plx;
24 Sex c,24 Sex,c,HD 90043,1,2,2010,883.00000000000,2.0800000000,13.90000000,1.24000000,0.290000,,,,K0 IV,5098.00,4.900000,1.540000,-0.0300,2.7000,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,44.71580,245.08569,-10.19818,157.99004,72.06910000,13.8488000;
2M0437 b,2MASS J04372171+2651014,b,,1,1,2021,,118.0000000000,13.00000000,1.16000000,,,1450.00,,M V,3100.00,0.840000,0.170000,0.0100,0.0025,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,-13.44593,172.81975,4.72193,71.58413,128.48400000,7.7552400;
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,,2,1,2013,,84.0000000000,12.30000000,1.10000000,,,,,M5.5/M6,,,0.190000,,0.0300,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,-61.77586,299.26888,-54.69414,341.46425,47.20000000,;
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,,1,1,2013,,52.0000000000,11.20900000,1.00000000,,,1600.00,,M3.5 V,3530.00,0.366450,0.400000,,0.1200,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,-82.51990,195.45385,-30.71197,8.61880,33.82810000,29.5326000;
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,,1,1,2015,,156.0000000000,16.14096000,1.44000000,,,,,M6,3064.00,0.281000,0.108000,,0.0350,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,-67.98402,252.45343,-49.30514,13.50514,40.08964117,24.9440995;
2MASS J0249-0557 c,2MASS J0249-0557 A,c,,2,1,2018,,1950.0000000000,12.40000000,1.11000000,,,,,M6 V,2859.00,0.315959,0.046000,,0.0220,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,-54.76650,181.38690,-21.25209,38.09147,66.06130000,15.1097000;
2MASS J03590986+2009361 b,2MASS J03590986+2009361,b,,1,1,2024,,572.0000000000,12.20000000,1.08000000,,,2369.00,,,2943.00,0.289776,0.264996,,,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,-24.41615,171.79480,-0.37206,61.80997,117.43500000,8.4918300;
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,,1,1,2010,,15.0000000000,12.60000000,1.13000000,,,,,M8.5,2936.00,0.231916,0.019000,,0.0010,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,-15.11435,176.51065,0.80236,72.04638,120.42398696,8.3039935;
2MASS J11011926-7732383 b,2MASS J11011926-7732383,b,,1,1,2024,,266.0000000000,11.90000000,1.06000000,,,2677.00,,,,,,,,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,-15.96361,296.98009,-66.57990,238.33044,,;
2MASS J11550485-7919108 b,2MASS J11550485-7919108,b,,1,1,2024,,587.0000000000,12.10000000,1.08000000,,,2506.00,,,3021.00,0.600455,0.588460,,,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,-16.74470,300.23137,-64.57818,244.42577,100.86200000,9.8861800;
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,,1,1,2004,,46.0000000000,15.69257298,1.40000000,,,1163.00,,M8,2825.00,0.218870,0.188001,,0.0100,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,22.54309,293.79011,-35.03506,199.73955,64.30800000,15.5242000;
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,,2,3,2015,406.00000000000,0.9200000000,13.40000000,1.20000000,0.330000,,,,,29564.00,0.203000,0.480000,-0.0920,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,11.67426,79.01876,65.72534,314.70548,396.33200000,2.4952200;
2MASS J21252752-8138278 b,2MASS J21252752-8138278,b,,1,1,2024,,7493.0000000000,12.40000000,1.10000000,,,1616.00,,,3592.00,0.672832,0.643977,,,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,-32.11971,310.65078,-60.64920,283.39145,34.11540000,29.2836000;
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,,1,1,2016,,230.0000000000,12.30000000,1.10000000,,,,,K7 V,4045.00,0.641152,0.600000,,0.1200,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,-9.10923,100.74846,50.85330,6.85515,69.57370000,14.3444000;
2MASS J22501512+2325342 b,2MASS J22501512+2325342,b,,1,1,2018,,518.0000000000,11.90000000,1.06000000,,,1600.00,,M3,3352.00,0.437589,0.433173,,0.1500,22h50m15.22s,342.5634097,+23d25m33.26s,23.4259058,-31.58894,90.01620,28.30246,353.85943,57.23090000,17.4443000;
4 UMa b,4 UMa,b,HD 73108,1,1,2006,270.27000000000,0.8770000000,12.60000000,1.12000000,0.453000,,,,K1 III,4415.00,18.110000,1.234000,-0.2500,4.6040,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,35.95654,151.35882,44.02809,112.80905,73.46030000,13.5901000;
47 UMa b,47 UMa,b,HD 95128,1,3,1996,1078.00000000000,2.1000000000,13.20000000,1.18000000,0.032000,,,,G0V,5872.00,1.213340,1.060000,0.0400,6.4800,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,63.36770,175.78305,31.06122,149.06444,13.79670000,72.4528000;
47 UMa c,47 UMa,c,HD 95128,1,3,2001,2391.00000000000,3.6000000000,14.20000000,1.27000000,0.098000,,,,G0V,5872.00,1.213340,1.060000,0.0400,6.4800,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,63.36770,175.78305,31.06122,149.06444,13.79670000,72.4528000;
47 UMa d,47 UMa,d,HD 95128,1,3,2009,14002.00000000000,11.6000000000,13.50000000,1.20000000,0.160000,,,,G0V,5872.00,1.213340,1.060000,0.0400,6.4800,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,63.36770,175.78305,31.06122,149.06444,13.79670000,72.4528000;
51 Eri b,51 Eri,b,HD 29391,3,1,2015,9100.00000000000,10.4000000000,,,0.570000,,807.00,141.00000,F0 IV,7422.00,1.450000,1.750000,0.1300,0.0232,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,-30.65764,198.61297,-24.30532,67.30974,29.75750000,33.5770000;
51 Peg b,51 Peg,b,HD 217014,1,1,1995,4.23078500000,0.0527000000,14.30000000,1.27000000,0.013000,,,80.00000,G5V,5758.00,1.175610,1.030000,0.1800,10.0000,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,-34.72750,90.06374,25.18633,354.28125,15.46140000,64.6488000;
55 Cnc B b,55 Cnc B,b,,2,7,2025,6.79940000000,0.0440000000,1.69000000,0.15100000,0.000000,,,,M4.5 V,3286.00,0.274000,0.260000,0.1600,10.0000,08h52m40.30s,133.1679080,+28d18m55.03s,28.3152863,37.71118,196.81868,10.35672,127.74903,12.47730000,80.1166000;
55 Cnc B c,55 Cnc B,c,,2,7,2025,33.74700000000,0.1300000000,2.16000000,0.19300000,0.000000,,,,M4.5 V,3286.00,0.274000,0.260000,0.1600,10.0000,08h52m40.30s,133.1679080,+28d18m55.03s,28.3152863,37.71118,196.81868,10.35672,127.74903,12.47730000,80.1166000;
55 Cnc b,55 Cnc,b,HD 75732,2,7,1996,14.65155200000,0.1180000000,13.90000000,1.24000000,0.002900,,700.00,89.73000,G8 V,5198.00,0.980000,1.015000,0.3900,10.0000,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,12.58550000,79.4274000;
55 Cnc c,55 Cnc,c,HD 75732,2,7,2004,44.39360000000,0.2470000000,8.51000000,0.76000000,0.088000,,,89.73000,G8 V,5198.00,0.980000,1.015000,0.3900,10.0000,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,12.58550000,79.4274000;
55 Cnc d,55 Cnc,d,HD 75732,2,7,2002,4799.00000000000,5.6000000000,13.00000000,1.16000000,0.091300,,,89.73000,G8 V,5198.00,0.980000,1.015000,0.3900,10.0000,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,12.58550000,79.4274000;
55 Cnc e,55 Cnc,e,HD 75732,2,7,2004,0.73654740000,0.0154400000,1.87500000,0.16727630,0.050000,2657.8322,1958.00,83.59000,G8 V,5172.00,0.943000,0.905000,0.3500,5.5000,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,12.58550000,79.4274000;
55 Cnc f,55 Cnc,f,HD 75732,2,7,2007,260.58000000000,0.8020000000,7.59000000,0.67700000,0.063000,,,89.73000,G8 V,5198.00,0.980000,1.015000,0.3900,10.0000,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,12.58550000,79.4274000;
6 Lyn b,6 Lyn,b,HD 45410,1,1,2008,919.86000000000,2.0280000000,13.40000000,1.20000000,0.042000,,,,K0 IV,4941.00,4.940000,1.320000,-0.1700,2.3530,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,20.18918,156.97286,34.85376,94.93477,54.65990000,18.2668000;
61 Vir b,61 Vir,b,HD 115617,1,3,2009,4.21500000000,0.0502010000,2.11000000,0.18800000,0.120000,,,,G5 V,5577.00,0.963000,0.942000,-0.0100,8.9600,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,44.08875,311.85177,-9.30380,205.00076,8.50332000,117.5730000;
61 Vir c,61 Vir,c,HD 115617,1,3,2009,38.02100000000,0.2175000000,4.46000000,0.39800000,0.140000,,,,G5 V,5577.00,0.963000,0.942000,-0.0100,8.9600,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,44.08875,311.85177,-9.30380,205.00076,8.50332000,117.5730000;
61 Vir d,61 Vir,d,HD 115617,1,3,2009,123.01000000000,0.4760000000,5.11000000,0.45600000,0.350000,,,,G5 V,5577.00,0.963000,0.942000,-0.0100,8.9600,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,44.08875,311.85177,-9.30380,205.00076,8.50332000,117.5730000;
7 CMa b,7 CMa,b,HD 47205,1,2,2011,735.10000000000,1.7580000000,13.40000000,1.20000000,0.060000,,,90.00000,K1III(+M),4826.00,4.870000,1.340000,0.2100,4.3000,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,-11.79597,228.68876,-42.32234,101.73845,19.81010000,50.4571000;
7 CMa c,7 CMa,c,HD 47205,1,2,2019,996.00000000000,2.1530000000,13.90000000,1.24000000,0.080000,,,90.00000,K1III(+M),4826.00,4.870000,1.340000,0.2100,4.3000,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,-11.79597,228.68876,-42.32234,101.73845,19.81010000,50.4571000;
70 Vir b,70 Vir,b,HD 117176,1,1,1996,116.68800000000,0.4810000000,12.60000000,1.13000000,0.398800,,,,G5V,5495.00,1.890000,1.090000,-0.0900,7.7700,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,74.09910,337.65749,21.33810,194.96700,17.90110000,55.8347000;
75 Cet b,75 Cet,b,HD 15779,2,2,2012,696.62000000000,1.9120000000,13.30000000,1.18000000,0.093000,,,,G3 III,4809.00,10.380000,1.920000,0.1000,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,-54.44177,169.94418,-15.16759,35.32138,82.96130000,12.0264000;
75 Cet c,75 Cet,c,HD 15779,2,2,2023,2051.62000000000,3.9290000000,13.90000000,1.24000000,0.023000,,,,G3 III,4809.00,10.380000,1.920000,0.1000,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,-54.44177,169.94418,-15.16759,35.32138,82.96130000,12.0264000;
8 UMi b,8 UMi,b,HD 133086,1,1,2015,93.31000000000,0.4620000000,13.50000000,1.20000000,0.062000,,,,K0,4847.00,10.730000,1.510000,-0.0300,1.7000,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,39.66099,112.79492,73.34497,130.65518,162.55200000,6.1230400;
81 Cet b,81 Cet,b,HD 16400,1,1,2008,1005.57000000000,2.1040000000,13.10000000,1.17000000,0.037000,,,,G5 III,4734.00,11.210000,1.230000,-0.1100,,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,-55.24995,174.48697,-17.84979,35.89019,101.26000000,9.8489500;
91 Aqr b,91 Aqr,b,HD 219449,3,1,2013,181.40000000000,0.7000000000,13.10000000,1.17000000,0.027000,,,,K0 III,4665.00,11.000000,1.400000,-0.0300,3.5600,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,-61.11327,67.07416,-4.00228,346.30621,44.03040000,22.6884000;
AB Aur b,AB Aur,b,,1,1,2022,,93.9000000000,12.50000000,1.12000000,0.400000,,,42.60000,,9770.00,2.958870,2.400000,,0.0030,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,-7.98082,172.49916,7.88431,76.08023,162.12700000,6.1399600;
AB Pic b,AB Pic,b,HD 44627,1,1,2005,,260.0000000000,12.30000000,1.10000000,,,,,K2 V,5285.00,0.999394,0.900000,0.0400,0.0300,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,-26.93081,266.94347,-81.21165,106.85566,50.04750000,19.9521000;
AF Lep b,AF Lep,b,HD 35850,1,1,2023,8905.00000000000,8.9960000000,13.00000000,1.16000000,0.015000,,1400.00,57.50000,F8,6140.00,1.250000,1.218000,0.1900,0.0240,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,-24.04116,214.37435,-35.05939,80.14319,26.85640000,37.2061000;
AT2021ueyL b,AT2021ueyL,b,,1,1,2025,4168.69000000000,4.0100000000,13.60000000,1.22000000,,,,,M V,3680.00,,0.490000,,,21h38m10.81s,324.5450417,+26d27m59.65s,26.4665694,-19.06415,77.91374,37.98481,337.69117,1040.00000000,;
AU Mic b,AU Mic,b,HD 197481,1,4,2020,8.46344600000,0.0700000000,4.79000000,0.42733591,0.070000,21.2000,554.80,88.39000,M1 V,3540.00,0.862000,0.635000,0.0100,0.0190,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,-36.80401,12.65304,-12.82465,305.30682,9.72210000,102.8290000;
AU Mic c,AU Mic,c,HD 197481,1,4,2021,18.85902300000,0.1190000000,2.79000000,0.24890756,0.180000,7.3000,424.70,89.46000,M1 V,3540.00,0.862000,0.635000,0.0100,0.0190,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,-36.80401,12.65304,-12.82465,305.30682,9.72210000,102.8290000;
AU Mic d,AU Mic,d,HD 197481,1,4,2023,12.73596000000,,1.02000000,0.09120000,0.003050,,,89.31812,M1 V,3678.00,0.744000,0.510000,0.2300,0.0201,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,-36.80401,12.65304,-12.82465,305.30682,9.72210000,102.8290000;
AU Mic e,AU Mic,e,HD 197481,1,4,2025,33.11000000000,,4.87000000,0.43400000,,,,,M1 V,3665.00,0.820000,0.600000,0.1200,0.0185,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,-36.80401,12.65304,-12.82465,305.30682,9.72210000,102.8290000;
BD+03 2562 b,BD+03 2562,b,,1,1,2017,481.90000000000,1.3000000000,12.70000000,1.13000000,0.200000,,,,,4095.00,32.350000,1.140000,-0.7100,5.2000,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,61.57342,269.32522,1.56429,176.66448,1070.63000000,0.9034030;
BD+05 4868 A b,BD+05 4868 A,b,,2,1,2025,1.27186900000,0.0208000000,,,,,1820.00,,K V,4596.00,0.690000,0.700000,-0.0500,11.1000,21h47m26.74s,326.8614036,+06d36m19.15s,6.6053185,-34.17370,63.20153,18.75639,331.45122,43.56870000,22.9235000;
BD+14 4559 b,BD+14 4559,b,,1,1,2009,268.94000000000,0.7800000000,13.80000000,1.23000000,0.290000,,,,K2 V,4864.00,0.860000,0.490000,0.1700,,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,-22.63172,64.41837,29.21653,325.97253,49.35200000,20.2337000;
BD+15 2375 b,BD+15 2375,b,,1,1,2016,153.22000000000,0.5760000000,13.80000000,1.23000000,0.001000,,,,G5,4649.00,8.950000,1.080000,-0.2200,7.4100,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,70.27244,249.00212,11.99953,170.88717,768.04500000,1.2732700;
BD+15 2940 b,BD+15 2940,b,,1,1,2013,137.48000000000,0.5390000000,13.70000000,1.23000000,0.260000,,,,K0,4796.00,14.700000,1.100000,0.2800,7.1000,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,44.78011,28.10432,35.31759,233.93507,426.42000000,2.3168900;
BD+20 2457 b,BD+20 2457,b,,1,2,2009,379.63000000000,1.4500000000,12.10000000,1.08000000,0.150000,,,,K2 II,4137.00,49.000000,2.800000,-1.0000,,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,53.95226,216.04472,8.58559,148.87814,1539.71000000,0.5984970;
BD+20 2457 c,BD+20 2457,c,,1,2,2009,621.99000000000,2.0100000000,12.40000000,1.10000000,0.180000,,,,K2 II,4137.00,49.000000,2.800000,-1.0000,,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,53.95226,216.04472,8.58559,148.87814,1539.71000000,0.5984970;
BD+20 274 b,BD+20 274,b,,1,1,2012,578.20000000000,1.3000000000,13.00000000,1.16000000,0.210000,,,,K5 III,4296.00,17.300000,0.800000,-0.4600,,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,-40.23345,138.97420,9.58745,31.61777,1322.51000000,0.7226190;
BD+20 594 b,BD+20 594,b,,1,1,2016,41.68550000000,0.2410000000,2.57807000,0.23000000,0.000000,,546.00,89.55000,G,5766.00,1.080000,1.670000,-0.1500,3.3400,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,-28.05348,166.79660,1.31208,56.28872,179.46100000,5.5436600;
BD+37 3172 b,BD+37 3172,b,,1,1,2023,1887.76000000000,4.6500000000,12.40000000,1.11000000,0.590000,,,,,4500.00,50.240000,3.750000,-0.0300,,18h35m15.72s,278.8155071,+38d06m55.40s,38.1153886,19.31948,66.66421,61.11310,284.44970,454.25100000,2.1727700;
BD+42 2315 b,BD+42 2315,b,,1,1,2023,123.05000000000,0.5400000000,14.20000000,1.26000000,0.730000,,,,,4500.00,17.850000,1.380000,-0.2000,,12h30m21.30s,187.5887597,+41d16m10.44s,41.2695674,75.20995,138.62406,40.13995,167.04713,610.71500000,1.6088500;
BD+45 564 b,BD+45 564,b,,1,1,2021,307.88000000000,0.8300000000,13.60000000,1.21000000,0.120000,,,2.57900,K1,5004.00,0.813064,0.810000,-0.0900,,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,-14.70463,137.23205,30.57409,47.30878,53.62200000,18.6205000;
BD+48 738 b,BD+48 738,b,,1,1,2011,392.60000000000,1.0000000000,13.90000000,1.24000000,0.200000,,,,K0 III,4414.00,11.000000,0.740000,-0.2000,,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,-9.37870,140.80848,32.03021,54.56948,871.49300000,1.1208600;
BD+48 740 b,BD+48 740,b,,1,1,2018,733.00000000000,1.7000000000,13.50000000,1.20000000,0.760000,,,,K3 III,4534.00,10.330000,1.090000,-0.1300,,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,-9.96534,141.10904,31.40850,54.31896,666.58900000,1.4728900;
BD+49 828 b,BD+49 828,b,,1,1,2015,2590.00000000000,4.2000000000,13.50000000,1.21000000,0.350000,,,,K0,4943.00,7.600000,1.520000,-0.1900,2.3400,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,-7.80173,143.61792,31.07852,58.14797,442.04200000,2.2342000;
BD+55 362 b,BD+55 362,b,,1,1,2021,265.59000000000,0.7800000000,14.00000000,1.25000000,0.270000,,,0.60120,K3,5012.00,0.896193,0.909000,0.1800,,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,-5.64657,129.03163,42.69678,46.94431,52.56970000,18.9935000;
BD+60 1417 b,BD+60 1417,b,,1,1,2021,,1662.0000000000,14.68376472,1.31000000,,,1303.00,,K0,4993.00,0.797000,1.000000,,0.1000,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,57.08610,124.74559,56.32829,152.27273,44.95430000,22.2159000;
BD+63 1405 b,BD+63 1405,b,,1,1,2021,1198.48000000000,2.0600000000,12.40000000,1.11000000,0.880000,,,5.97400,K0,5000.00,0.804724,0.816000,-0.0900,,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,29.15130,93.08126,87.05023,282.13451,38.04730000,26.2541000;
BD-06 1339 b,BD-06 1339,b,,1,2,2013,3.87280000000,0.0428000000,,,0.000000,,,0.32430,K7/M0 V,4324.00,0.686355,0.700000,-0.1400,4.4000,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,-15.71602,211.65797,-29.42350,87.99923,20.26950000,49.3062000;
